annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;nombre_de_gagnant_au_rang7;rapport_du_rang7;nombre_de_gagnant_au_rang8;rapport_du_rang8;nombre_de_gagnant_au_rang9;rapport_du_rang9;nombre_de_codes_gagnants;rapport_codes_gagnants;codes_gagnants;boule_1_second_tirage;boule_2_second_tirage;boule_3_second_tirage;boule_4_second_tirage;boule_5_second_tirage;promotion_second_tirage;combinaison_gagnant_second_tirage_en_ordre_croissant;nombre_de_gagnant_au_rang_1_second_tirage;rapport_du_rang1_second_tirage;nombre_de_gagnant_au_rang_2_second_tirage;rapport_du_rang2_second_tirage;nombre_de_gagnant_au_rang_3_second_tirage;rapport_du_rang3_second_tirage;nombre_de_gagnant_au_rang_4_second_tirage;rapport_du_rang4_second_tirage;numero_jokerplus;devise;
25045;LUNDI;14/04/2025;13/07/2025;33;40;25;31;37;9;25-31-33-37-40+9;0;6000000,00;2;74801,70;33;1106,50;216;609,70;1113;70,70;11169;25,30;16707;13,10;160870;5,40;293143;2,20;10;20000,00;D 0533 0553, D 5327 5743, E 2560 8742, F 6596 0832, C 4500 4010, Q 8567 0813, G 6326 1608, A 3956 2756, F 7339 6460, F 1807 8685;1;3;12;15;46;;1-3-12-15-46;1;109337,00;269;361,40;11430;21,80;151062;3,00;9400727;eur;
25044;SAMEDI;12/04/2025;11/07/2025;3;18;10;13;47;1;3-10-13-18-47+1;0;5000000,00;0;269513,80;54;6209,10;775;306,10;2531;56,00;31640;16,10;31909;12,40;398038;3,90;360089;2,20;10;20000,00;T 4975 5617, T 5836 5186, P 4945 7163, T 5282 8386, I 7740 8499, J 5414 0078, B 2959 7888, O 7359 9346, G 6229 8472, V 1661 3574;16;19;23;44;48;;16-19-23-44-48;1;177000,00;308;595,20;14248;33,00;213666;3,00;9827527;eur;
25043;MERCREDI;09/04/2025;08/07/2025;36;16;12;47;46;9;12-16-36-46-47+9;0;4000000,00;0;175352,70;24;9089,60;236;654,10;1313;70,20;11933;27,80;21631;11,90;195133;5,20;348820;2,20;10;20000,00;U 9097 7943, Q 0444 3067, B 3944 6448, O 8527 8852, V 4551 0846, N 6584 3867, A 5768 8638, I 6133 4318, B 0046 5736, P 3655 9678;1;2;6;13;20;;1-2-6-13-20;4;31582,00;524;184,80;17309;14,30;192928;3,00;4628122;eur;
25042;LUNDI;07/04/2025;06/07/2025;21;34;13;38;2;1;2-13-21-34-38+1;0;3000000,00;1;157083,50;26;1474,60;310;446,00;1077;76,70;13527;21,90;15215;15,20;193550;4,70;213239;2,20;10;20000,00;K 8895 8635, W 7682 5219, L 7531 2079, N 0732 3300, U 8628 8586, P 9599 6142, L 4114 6585, I 1313 5676, P 4706 0763, U 2917 1452;7;24;33;38;40;;7-24-33-38-40;2;53242,00;183;637,40;8171;36,70;120985;3,00;8902258;eur;
25041;SAMEDI;05/04/2025;04/07/2025;14;30;22;8;27;7;8-14-22-27-30+7;0;2000000,00;6;34071,80;120;415,80;861;209,00;4811;22,30;30255;12,70;55903;5,30;350148;3,40;626261;2,20;10;20000,00;A 9384 1194, B 2254 1996, P 4649 6501, Q 8366 8926, A 5993 6329, J 4727 8593, L 2736 3696, T 8872 7885, Q 2035 8571, O 7286 8680;14;21;29;38;49;;14-21-29-38-49;4;42759,00;319;584,30;13824;34,60;195473;3,00;7196936;eur;
25040;MERCREDI;02/04/2025;01/07/2025;45;5;34;15;4;9;4-5-15-34-45+9;1;12000000,00;9;23201,00;58;878,70;382;481,20;1923;57,10;17589;22,40;29032;10,50;264311;4,60;413375;2,20;10;20000,00;N 3334 9630, Q 3192 8297, G 7245 7504, L 0531 0769, D 8084 2751, W 7661 7493, D 9488 6613, W 7626 9422, T 6158 8433, H 4547 7336;13;18;21;41;42;;13-18-21-41-42;0;146433,00;264;551,50;12367;30,20;183987;3,00;5807884;eur;
25039;LUNDI;31/03/2025;29/06/2025;3;4;28;16;38;4;3-4-16-28-38+4;0;11000000,00;1;176773,80;47;918,00;332;468,70;2057;45,20;16630;20,10;28029;9,20;241763;4,20;341427;2,20;10;20000,00;K 1906 7108, T 2990 2618, E 9177 7161, P 3999 0594, M 8275 0689, O 7066 0394, B 2197 4272, R 3770 2965, W 7623 9078, M 6985 4702;7;20;23;36;43;;7-20-23-36-43;1;124431,00;214;607,50;10160;32,90;148875;3,00;1886728;eur;
25038;SAMEDI;29/03/2025;27/06/2025;14;31;41;7;12;5;7-12-14-31-41+5;0;10000000,00;3;91296,20;102;655,30;690;349,40;3924;36,70;30877;16,70;53567;7,50;422437;3,70;619597;2,20;10;20000,00;U 8721 8502, A 4544 9183, I 3703 2291, J 8729 3403, R 2917 4371, S 2887 4184, I 7488 3200, B 8710 0462, U 1452 3312, P 6989 4352;2;7;12;20;33;;2-7-12-20-33;5;39983,00;646;255,60;24218;17,50;291226;3,00;3969756;eur;
25037;MERCREDI;26/03/2025;24/06/2025;4;41;21;19;11;7;4-11-19-21-41+7;0;9000000,00;2;82963,10;82;493,80;513;284,70;3656;23,80;21569;14,50;45173;5,40;275144;3,50;510141;2,20;10;20000,00;I 3933 1001, P 2273 4482, I 8035 7957, V 6133 7026, K 2344 0873, G 1602 5141, C 2354 9807, C 6496 3362, D 4884 5234, H 8894 9968;8;9;12;26;32;;8-9-12-26-32;0;134537,00;343;328,00;14875;19,40;194339;3,00;1273454;eur;
25036;LUNDI;24/03/2025;22/06/2025;35;29;47;46;21;1;21-29-35-46-47+1;0;8000000,00;2;84794,40;12;3449,30;255;585,40;845;105,50;10684;30,00;14136;17,60;170651;5,70;235455;2,20;10;20000,00;A 1753 4901, U 1154 9519, D 3997 4233, I 0919 5063, B 0070 2405, F 0060 2019, W 7523 1030, H 0571 0867, S 0524 2785, I 9691 8920;3;13;18;33;34;;3-13-18-33-34;0;112562,00;237;451,90;11146;24,70;147171;3,00;0234521;eur;
