annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;nombre_de_gagnant_au_rang7;rapport_du_rang7;nombre_de_gagnant_au_rang8;rapport_du_rang8;nombre_de_gagnant_au_rang9;rapport_du_rang9;nombre_de_codes_gagnants;rapport_codes_gagnants;codes_gagnants;boule_1_second_tirage;boule_2_second_tirage;boule_3_second_tirage;boule_4_second_tirage;boule_5_second_tirage;promotion_second_tirage;combinaison_gagnant_second_tirage_en_ordre_croissant;nombre_de_gagnant_au_rang_1_second_tirage;rapport_du_rang1_second_tirage;nombre_de_gagnant_au_rang_2_second_tirage;rapport_du_rang2_second_tirage;nombre_de_gagnant_au_rang_3_second_tirage;rapport_du_rang3_second_tirage;nombre_de_gagnant_au_rang_4_second_tirage;rapport_du_rang4_second_tirage;numero_jokerplus;devise;
23146;MERCREDI;06/12/2023;05/03/2024;29;1;43;37;27;7;1-27-29-37-43+7;0;5000000,00;0;154524,40;33;5825,40;272;500,10;2103;38,40;13116;22,20;33699;6,70;205433;4,30;498916;2,20;10;20000,00;F 5572 7655, E 0375 6327, H 8183 8974, O 1955 7799, S 6697 0126, J 0238 7436, V 5792 5841, L 5454 5568, K 9476 5817, O 8946 5296;22;28;33;40;43;;22-28-33-40-43;1;128439,00;183;786,50;9295;40,20;138550;3,00;5867538;eur;
23145;LUNDI;04/12/2023;03/03/2024;41;44;38;8;10;2;8-10-38-41-44+2;0;4000000,00;2;73236,40;23;1554,30;189;682,20;1047;73,30;10479;26,30;16093;13,30;172569;4,90;234678;2,20;10;20000,00;L 8575 0697, U 8144 7578, E 7831 5703, W 5496 1714, M 1492 4472, Q 1159 3826, F 0470 6693, L 5613 2927, P 8177 7497, U 1333 5405;8;29;37;46;48;;8-29-37-46-48;1;102120,00;145;836,00;6823;45,80;103497;3,00;6831653;eur;
23144;SAMEDI;02/12/2023;01/03/2024;25;19;12;11;28;4;11-12-19-25-28+4;0;3000000,00;4;61502,60;125;480,30;1076;201,20;4171;30,90;37856;12,20;47792;7,50;430907;3,30;457864;2,20;10;20000,00;H 6510 2372, C 7136 6790, J 9597 1669, L 7378 7423, I 8921 5074, K 6440 3938, J 4136 3986, Q 0788 5609, N 1616 2939, N 6197 7388;2;11;15;20;29;;2-11-15-20-29;1;173404,00;616;238,90;21074;17,90;246202;3,00;3878904;eur;
23143;MERCREDI;29/11/2023;27/02/2024;21;30;6;31;10;1;6-10-21-30-31+1;0;2000000,00;1;88437,20;43;1003,90;514;301,70;1727;53,60;20275;16,40;20738;12,50;250360;4,10;237431;2,20;10;20000,00;C 9144 7297, L 4511 4330, R 4729 6340, N 3246 9418, B 4138 1563, M 8543 6642, L 3475 4981, J 7366 7526, F 9957 3490, G 1517 7815;2;6;7;28;34;;2-6-7-28-34;1;115100,00;205;513,00;10723;25,10;155085;3,00;6692511;eur;
23142;LUNDI;27/11/2023;25/02/2024;19;8;46;26;9;9;8-9-19-26-46+9;1;2000000,00;1;131325,90;40;801,30;364;316,70;1733;39,70;14167;17,50;22116;8,70;194162;3,90;248293;2,20;10;20000,00;D 1840 0450, F 1318 5965, O 6216 1375, E 9236 9338, O 8604 8368, H 9269 9624, K 0163 9072, H 1166 8883, P 5845 1415, H 1052 5094;6;7;8;26;40;;6-7-8-26-40;0;100000,00;159;546,50;8488;26,40;127549;3,00;0263009;eur;
23141;SAMEDI;25/11/2023;23/02/2024;1;9;19;13;11;8;1-9-11-13-19+8;1;5000000,00;15;15937,30;149;391,60;1658;126,70;4738;26,40;46932;9,60;49173;7,10;458190;3,00;467296;2,20;10;20000,00;W 5464 2631, L 9214 3548, I 5073 7891, E 0213 4744, G 4768 7313, S 3177 6759, F 0177 3652, B 2255 1411, B 8826 9356, S 3813 4923;7;10;41;42;43;;7-10-41-42-43;1;167851,00;234;775,70;11821;39,40;191952;3,00;0356288;eur;
23140;MERCREDI;22/11/2023;20/02/2024;18;45;41;4;17;2;4-17-18-41-45+2;0;4000000,00;0;180113,50;26;8618,20;243;649,80;1206;78,30;13278;25,60;19383;13,60;212670;4,90;282933;2,20;10;20000,00;L 0776 4000, U 9022 7182, V 8104 3274, K 8852 5995, E 9415 6879, J 4513 4244, I 7163 7365, O 8222 6152, L 3444 4581, M 7261 0346;1;15;19;23;24;;1-15-19-23-24;4;29989,00;372;275,10;13716;19,10;170249;3,00;6881627;eur;
23139;LUNDI;20/11/2023;18/02/2024;30;15;34;46;41;2;15-30-34-41-46+2;0;3000000,00;1;144157,30;17;2069,70;170;746,50;843;89,60;8523;31,90;12930;16,30;140410;5,90;236659;2,20;10;20000,00;I 0808 7624, E 1346 1143, F 8042 3925, F 7747 4175, Q 7759 9058, D 6112 5564, F 9367 2724, M 5602 2426, H 7571 8849, D 9616 3021;8;28;40;41;47;;8-28-40-41-47;0;100304,00;136;888,80;6186;50,00;100523;3,00;9219835;eur;
23138;SAMEDI;18/11/2023;16/02/2024;12;21;48;29;20;3;12-20-21-29-48+3;0;2000000,00;2;114984,80;49;1145,50;481;419,10;2898;41,70;23878;18,10;39736;8,50;331587;4,00;481283;2,20;10;20000,00;A 8702 2649, D 9654 5382, F 1440 5554, M 6695 8323, I 4857 0973, Q 5840 1347, N 0387 1857, T 4770 3830, S 7493 6783, D 4143 1615;14;33;35;36;48;;14-33-35-36-48;1;166075,00;196;1042,90;10755;48,90;160038;3,00;0765026;eur;
23137;MERCREDI;15/11/2023;13/02/2024;22;7;16;30;2;1;2-7-16-22-30+1;1;15000000,00;2;110724,70;63;857,90;774;250,20;2059;56,30;27452;15,20;26392;12,20;327791;3,90;303529;2,20;10;20000,00;M 4729 8646, R 6613 7447, A 8408 2998, N 0411 8965, H 3748 0724, U 4272 3845, U 5608 4180, H 4913 7378, L 3544 3203, M 0499 6583;16;27;36;38;47;;16-27-36-38-47;0;139350,00;240;682,10;9849;42,50;144401;3,00;6735564;eur;
23136;LUNDI;13/11/2023;11/02/2024;46;39;23;45;13;7;13-23-39-45-46+7;0;14000000,00;1;149197,10;30;1213,80;291;448,20;1868;41,90;13155;21,30;31169;7,00;202885;4,20;459089;2,20;10;20000,00;M 3678 9948, B 9902 4230, A 9507 8947, S 1265 5268, L 7228 8917, Q 3302 8485, I 7257 6826, Q 8411 1601, B 4489 5794, C 6232 4767;12;15;32;36;48;;12-15-32-36-48;3;39938,00;196;682,20;8815;39,20;131071;3,00;7665801;eur;
23135;SAMEDI;11/11/2023;09/02/2024;17;22;35;25;19;6;17-19-22-25-35+6;0;13000000,00;2;141665,60;64;1080,50;592;418,40;2821;52,60;27951;19,10;40170;10,30;396969;4,10;500580;2,20;10;20000,00;R 1267 9333, I 7703 2700, S 5593 0432, J 2658 3169, O 0655 0115, J 7182 3570, J 8463 3157, D 1390 5340, T 4074 4074, J 3761 2821;17;27;32;36;41;;17-27-32-36-41;5;37462,00;284;767,70;12779;43,70;195623;3,00;7159888;eur;
23134;MERCREDI;08/11/2023;06/02/2024;2;49;1;36;14;9;1-2-14-36-49+9;0;12000000,00;0;199333,80;39;6358,60;310;564,20;1688;61,90;15503;24,20;26250;11,10;241253;4,70;393533;2,20;10;20000,00;G 7258 1115, O 6338 4800, U 1244 2539, D 8670 2767, M 9911 4982, C 9303 4147, A 3857 0036, N 5323 3439, M 6672 1518, U 3943 0710;2;18;26;30;33;;2-18-26-30-33;2;68646,00;283;495,50;11756;30,80;165440;3,00;9180945;eur;
23133;LUNDI;06/11/2023;04/02/2024;18;10;40;34;31;10;10-18-31-34-40+10;0;11000000,00;0;176337,10;27;8125,00;331;468,90;1346;68,50;13406;24,80;19108;13,50;200620;5,10;269082;2,20;10;20000,00;K 7192 1755, M 8846 7844, O 7147 5269, C 8113 9816, K 1770 4558, P 7396 0182, S 1185 5487, B 1619 4202, U 8848 5803, N 0802 3817;2;4;40;45;46;;2-4-40-45-46;0;116200,00;111;1281,50;6541;55,70;113776;3,00;3151346;eur;
23132;SAMEDI;04/11/2023;02/02/2024;20;13;46;40;25;7;13-20-25-40-46+7;0;10000000,00;2;121429,90;84;705,60;472;452,90;3453;36,80;22945;19,90;51854;6,80;339368;4,10;743306;2,20;10;20000,00;T 6353 3273, A 8520 5600, J 4580 6518, L 7459 4726, G 3423 8333, U 3851 0518, U 4116 8764, I 6619 3598, I 2724 4490, V 8207 8052;13;16;22;29;47;;13-16-22-29-47;1;192501,00;456;396,30;19146;24,20;253207;3,00;9654270;eur;
23131;MERCREDI;01/11/2023;30/01/2024;32;46;27;1;16;1;1-16-27-32-46+1;0;9000000,00;0;197405,20;24;10232,70;288;601,30;1145;90,30;13503;27,50;19208;15,00;214960;5,30;275372;2,20;10;20000,00;E 0592 1095, S 7107 7263, W 5268 3155, Q 5849 5137, N 3873 1160, A 0547 1048, V 6802 6345, D 1356 8045, Q 9341 6359, M 3608 5237;8;14;24;32;39;;8-14-24-32-39;0;125319,00;281;483,50;10281;33,80;143379;3,00;7120835;eur;
23130;LUNDI;30/10/2023;28/01/2024;30;34;8;1;13;4;1-8-13-30-34+4;0;8000000,00;2;81278,10;36;1102,10;356;400,80;1869;45,70;17430;17,60;25367;9,40;236751;3,90;312438;2,20;10;20000,00;J 4562 5204, P 3109 8549, V 8214 4284, L 3863 7256, C 4418 3692, O 5744 6489, J 1884 5973, N 9116 6647, B 3635 6642, W 5328 4573;8;15;19;25;44;;8-15-19-25-44;2;57498,00;331;310,30;12137;21,60;157704;3,00;8683372;eur;
23129;SAMEDI;28/10/2023;26/01/2024;31;38;22;32;34;2;22-31-32-34-38+2;0;7000000,00;3;91292,40;54;1215,30;441;546,70;1935;74,30;21280;24,20;27936;14,30;286884;5,50;448301;2,20;10;20000,00;D 1942 5249, C 4138 9539, V 1281 2292, C 8852 7994, M 5340 5509, M 7025 3352, J 3431 9476, U 2876 7681, D 7011 4974, E 5239 8458;20;25;29;34;46;;20-25-29-34-46;3;61343,00;232;924,80;11609;47,60;190594;3,00;5696057;eur;
23128;MERCREDI;25/10/2023;23/01/2024;22;12;30;35;33;10;12-22-30-33-35+10;0;6000000,00;1;195342,00;26;1833,70;310;549,40;1575;65,00;16624;22,10;22089;12,90;251431;4,50;290114;2,20;10;20000,00;L 3371 3903, R 9387 2755, A 6587 2290, A 3842 3659, B 2723 2380, M 0910 4325, I 1705 2188, G 4690 1411, V 0469 1661, O 0991 5785;13;33;35;40;48;;13-33-35-40-48;1;127898,00;195;758,00;9306;40,50;135418;3,00;4889234;eur;
23127;LUNDI;23/10/2023;21/01/2024;10;3;40;26;22;4;3-10-22-26-40+4;0;5000000,00;1;152432,10;37;979,00;374;356,80;1850;43,20;16600;17,30;24355;9,10;221797;3,90;291879;2,20;10;20000,00;M 3062 8134, H 1431 6930, F 9042 3594, S 5306 1808, D 8949 6955, T 0719 6324, U 3115 4938, W 5313 4272, U 8555 6982, V 6911 8409;1;6;7;40;43;;1-6-7-40-43;0;109400,00;147;767,40;8078;35,70;132218;3,00;1824885;eur;
23126;SAMEDI;21/10/2023;19/01/2024;47;14;28;3;25;10;3-14-25-28-47+10;0;4000000,00;6;44848,90;62;1042,50;714;330,80;2234;63,10;25629;19,80;31144;12,60;349985;4,40;418272;2,20;10;20000,00;A 7666 4712, R 7088 1285, J 2673 4500, T 4641 2721, E 2026 8417, U 5801 9524, F 4352 1388, J 2393 7258, T 5421 2248, V 0331 5311;3;17;19;44;46;;3-17-19-44-46;1;179764,00;345;528,10;15068;31,00;220388;3,00;0010206;eur;
23125;MERCREDI;18/10/2023;16/01/2024;22;13;46;49;3;1;3-13-22-46-49+1;0;3000000,00;1;195490,80;33;1445,80;492;349,00;1608;63,70;19850;18,50;22029;13,00;262515;4,30;260966;2,20;10;20000,00;J 1217 2844, K 5061 3939, U 5831 5952, K 4730 0056, J 9449 2830, J 2822 8891, P 4596 9805, U 6854 4317, R 7099 7578, L 3196 5141;6;16;28;29;33;;6-16-28-29-33;1;126773,00;231;536,20;10851;29,60;159380;3,00;1592225;eur;
23124;LUNDI;16/10/2023;14/01/2024;6;7;37;25;47;9;6-7-25-37-47+9;0;2000000,00;0;144556,90;34;5289,40;236;536,90;1329;57,00;12897;21,10;20857;10,10;190955;4,40;288859;2,20;10;20000,00;G 3627 6932, E 6300 8328, V 1764 3164, D 7830 3174, J 0485 4050, S 6744 7633, G 1741 7948, O 9339 0293, K 3497 5162, C 6910 6186;8;32;34;36;43;;8-32-34-36-43;0;106788,00;166;806,30;7199;47,90;99939;3,00;4572493;eur;
23123;SAMEDI;14/10/2023;12/01/2024;13;14;27;4;20;1;4-13-14-20-27+1;1;2000000,00;6;45358,00;81;820,00;1042;229,20;2684;53,00;36579;14,00;32611;12,20;420240;3,70;354374;2,20;10;20000,00;I 4866 9290, T 9450 2136, O 7268 2766, E 1614 8972, F 5267 3319, C 3436 7463, S 5724 4170, Q 2311 9961, T 3914 3034, E 5382 8738;15;20;24;35;40;;15-20-24-35-40;2;86503,00;248;778,60;12360;40,30;189767;3,00;2321901;eur;
23122;MERCREDI;11/10/2023;09/01/2024;10;16;15;6;24;8;6-10-15-16-24+8;1;12000000,00;3;67754,80;68;729,50;770;231,70;3039;35,00;27520;13,90;36212;8,20;323250;3,60;400875;2,20;10;20000,00;A 3266 9846, U 7061 9726, V 1143 8024, J 3626 1593, W 5261 2375, L 9499 1036, H 1754 8972, P 0721 6755, E 9611 6924, F 5984 2614;8;25;36;37;47;;8-25-36-37-47;0;141232,00;159;1049,30;9053;47,40;143912;3,00;4039188;eur;
23121;LUNDI;09/10/2023;07/01/2024;9;16;32;30;23;6;9-16-23-30-32+6;0;11000000,00;5;37708,20;53;868,20;595;276,10;2141;46,10;19313;18,40;26208;10,50;255446;4,20;332775;2,20;10;20000,00;M 0830 7779, M 0414 5883, K 7785 0832, Q 5097 1393, T 8694 8227, G 8194 2499, L 6036 9684, A 5066 6110, L 3009 8787, V 7040 2064;5;7;19;20;25;;5-7-19-20-25;3;42890,00;590;156,80;18273;13,00;202305;3,00;2210066;eur;
23120;SAMEDI;07/10/2023;05/01/2024;5;12;42;9;26;2;5-9-12-26-42+2;0;10000000,00;4;77217,40;106;711,20;1103;246,50;3905;41,30;42063;13,80;47857;9,40;487641;3,60;504475;2,20;10;20000,00;F 3993 7438, O 4201 7434, T 7346 1088, F 6095 4690, I 2987 9530, N 4468 2184, N 8326 0822, F 6900 3079, R 7607 5997, U 7604 6938;9;11;17;39;40;;9-11-17-39-40;0;204302,00;394;510,20;17269;29,90;256832;3,00;9439467;eur;
23119;MERCREDI;04/10/2023;02/01/2024;26;21;40;27;31;1;21-26-27-31-40+1;0;9000000,00;0;220337,70;30;9137,20;295;653,00;1263;91,60;16113;25,70;21111;15,20;254354;5,00;304419;2,20;10;20000,00;W 5223 5705, F 5116 4037, S 7976 8935, O 1432 9664, W 5224 8593, H 5605 5464, S 4651 6733, H 9827 6998, A 4432 4057, G 5499 5336;3;16;19;22;34;;3-16-19-22-34;1;141586,00;309;423,70;13840;24,50;186613;3,00;5589634;eur;
23118;LUNDI;02/10/2023;31/12/2023;6;40;17;15;3;1;3-6-15-17-40+1;0;8000000,00;1;180645,40;39;1130,50;385;410,90;1414;66,80;17816;19,10;19822;13,30;240782;4,30;244602;2,20;10;20000,00;H 2274 6276, G 8055 4546, L 2843 6619, B 1356 8985, D 5237 5433, H 1949 1802, T 6801 3871, E 8745 4426, D 7140 4125, H 3842 3690;10;16;20;29;48;;10-16-20-29-48;1;119442,00;241;485,20;11600;25,90;151111;3,00;9231307;eur;
23117;SAMEDI;30/09/2023;29/12/2023;33;48;25;23;41;1;23-25-33-41-48+1;0;7000000,00;2;146643,10;41;1745,90;431;597,60;1929;79,50;21270;25,90;26686;16,10;312260;5,40;405104;2,20;10;20000,00;H 7601 8296, M 7598 6269, S 2404 8955, C 8872 1374, W 5205 6374, U 6196 6584, Q 0502 9659, T 2622 3568, V 3986 6922, D 2341 5501;1;13;16;19;25;;1-13-16-19-25;1;190635,00;806;194,90;23464;17,10;276979;3,00;9948100;eur;
23116;MERCREDI;27/09/2023;26/12/2023;44;14;30;25;17;3;14-17-25-30-44+3;0;6000000,00;1;180734,70;38;1131,10;423;374,30;2087;45,40;18686;18,20;28913;9,10;248637;4,20;378981;2,20;10;20000,00;V 2156 2277, F 2879 6714, J 4500 4299, U 0623 0550, S 7322 1939, B 5657 6606, F 2538 4597, Q 6409 2796, I 3444 5218, V 8078 0605;16;17;30;38;45;;16-17-30-38-45;0;129585,00;172;848,80;9286;40,20;141731;3,00;4012391;eur;
23115;LUNDI;25/09/2023;24/12/2023;4;13;27;46;21;4;4-13-21-27-46+4;0;5000000,00;1;152607,20;71;524,60;452;297,20;2106;38,00;17123;16,80;25595;8,70;219773;4,00;285709;2,20;10;20000,00;R 4373 1111, S 2632 2650, M 1860 2888, Q 3984 9368, F 0184 5920, H 1501 9933, T 6867 7225, E 0743 2158, B 5275 1215, B 9404 9657;2;9;30;34;47;;2-9-30-34-47;1;109466,00;142;845,70;7598;41,00;121658;3,00;5909206;eur;
23114;SAMEDI;23/09/2023;22/12/2023;26;28;40;37;6;8;6-26-28-37-40+8;0;4000000,00;0;248219,00;43;7181,40;418;521,50;2247;58,00;19395;24,10;34616;10,50;300870;4,70;508470;2,20;10;20000,00;M 2774 0807, W 5155 8022, L 6531 4623, A 7330 8291, T 6368 7262, S 6102 6121, V 6074 2411, V 0159 6247, J 2290 8466, N 5598 5579;2;12;27;41;46;;2-12-27-41-46;2;88764,00;280;659,40;14024;33,90;211046;3,00;3246574;eur;
23113;MERCREDI;20/09/2023;19/12/2023;48;19;37;16;29;1;16-19-29-37-48+1;0;3000000,00;3;64198,60;28;1678,80;384;440,30;1188;85,20;15213;23,80;18465;15,30;224270;4,90;267386;2,20;10;20000,00;T 8269 1837, L 5099 8397, L 1004 2065, D 8442 4855, D 7154 1787, T 6973 9661, N 1437 2185, O 4696 1705, L 6684 4080, K 0134 4131;18;21;28;41;45;;18-21-28-41-45;0;125131,00;279;486,40;10021;34,60;143088;3,00;0566666;eur;
23112;LUNDI;18/09/2023;17/12/2023;5;30;40;35;17;6;5-17-30-35-40+6;0;2000000,00;2;74245,90;24;1510,10;198;653,60;1085;71,70;11761;23,80;17738;12,20;179114;4,80;265244;2,20;10;20000,00;B 1520 9301, C 0158 9329, I 5611 6202, F 1206 8970, Q 7003 4207, T 6998 1030, P 3230 5810, J 8193 8870, G 0756 4550, O 6124 0570;2;19;20;28;38;;2-19-20-28-38;0;105870,00;202;503,80;9761;26,90;135537;3,00;7059607;eur;
23111;SAMEDI;16/09/2023;15/12/2023;42;43;32;40;15;4;15-32-40-42-43+4;1;18000000,00;1;281030,80;37;1853,80;328;751,90;2055;71,60;18586;28,40;31658;13,00;288437;5,60;552656;2,20;10;20000,00;P 0036 7730, U 6258 8386, O 0970 4863, B 8054 1167, S 9802 5114, L 2303 4530, R 3518 3462, B 1426 9741, N 1080 8402, H 1664 0651;3;8;27;48;49;;3-8-27-48-49;1;193026,00;383;502,50;17314;28,40;240873;3,00;8936042;eur;
23110;MERCREDI;13/09/2023;12/12/2023;11;27;30;48;49;8;11-27-30-48-49+8;0;16000000,00;2;106292,80;57;910,20;453;412,20;2222;50,00;19580;20,40;33298;9,30;286302;4,30;448074;2,20;10;20000,00;S 7875 3690, T 0031 3493, I 6930 2874, R 0858 8793, R 3876 9801, N 3667 0035, W 5123 9985, S 0800 3601, E 3962 9149, T 7387 5961;14;23;39;44;45;;14-23-39-44-45;0;149013,00;289;584,20;11660;37,10;160958;3,00;9431788;eur;
23109;LUNDI;11/09/2023;10/12/2023;31;44;40;13;28;6;13-28-31-40-44+6;0;15000000,00;3;65122,20;37;1288,70;421;408,50;1794;57,00;17374;21,20;25404;11,20;249971;4,50;348660;2,20;10;20000,00;A 1469 0446, N 2115 9259, G 7890 3620, G 6973 4418, U 5933 1018, I 6831 0721, C 9094 0378, C 8512 2106, N 4611 3422, N 1788 4652;3;10;16;35;42;;3-10-16-35-42;3;44083,00;261;534,60;10500;34,00;155889;3,00;8549474;eur;
23108;SAMEDI;09/09/2023;08/12/2023;15;7;3;42;4;4;3-4-7-15-42+4;0;14000000,00;1;296230,10;88;812,30;731;354,30;3711;41,80;33118;16,80;49918;8,70;443740;3,80;561024;2,20;10;20000,00;J 5062 5779, R 8033 2513, S 0725 7629, H 2400 4918, B 5212 0432, I 3874 3092, P 1504 7296, J 8014 0065, R 6183 3154, H 7521 0488;6;15;24;28;33;;6-15-24-28-33;0;201938,00;550;348,80;19090;26,00;260512;3,00;7326548;eur;
23107;MERCREDI;06/09/2023;05/12/2023;47;30;15;33;4;10;4-15-30-33-47+10;0;13000000,00;2;114001,20;41;1357,30;382;518,60;1526;78,30;17024;25,20;23804;14,00;262729;5,00;349561;2,20;10;20000,00;M 5287 3026, H 5545 8427, I 0117 5593, V 7385 3423, C 3463 1656, L 8017 9785, U 8063 6671, P 2741 1559, V 4815 4602, R 0302 4871;11;24;25;26;30;;11-24-25-26-30;2;74029,00;350;385,10;15145;22,80;199361;3,00;9235278;eur;
23106;LUNDI;04/09/2023;03/12/2023;27;13;2;11;36;10;2-11-13-27-36+10;0;12000000,00;2;103071,50;41;1227,10;560;324,00;1963;54,90;23702;16,30;25485;11,80;301752;3,90;308319;2,20;10;20000,00;P 7700 6237, G 0617 1368, T 8153 2285, U 2191 5933, W 5059 7821, B 8843 4147, T 9067 2418, Q 1069 5046, P 0697 4623, H 3954 8348;1;11;29;30;48;;1-11-29-30-48;0;133111,00;269;491,00;12394;27,30;166892;3,00;6019762;eur;
23105;SAMEDI;02/09/2023;01/12/2023;10;33;47;1;7;10;1-7-10-33-47+10;0;11000000,00;1;305425,00;69;1080,30;705;380,80;3092;51,70;31439;18,30;39814;11,20;423800;4,10;461186;2,20;10;20000,00;U 1646 2670, R 4353 0225, J 2208 1469, G 0270 5623, J 6256 9139, A 6839 9497, N 1166 8963, F 0673 9029, I 7833 9100, E 1906 2395;2;10;11;33;47;;2-10-11-33-47;3;65982,00;373;519,40;17716;28,10;249898;3,00;4459447;eur;
23104;MERCREDI;30/08/2023;28/11/2023;46;31;20;45;39;10;20-31-39-45-46+10;0;10000000,00;0;216202,50;34;7910,90;271;694,60;1346;83,80;12744;31,90;20384;15,50;206619;6,00;332619;2,20;10;20000,00;C 3701 1234, G 8867 9499, I 4337 7333, F 9198 3623, P 5717 1585, O 3965 0230, M 7885 4576, T 1573 4367, O 6822 1742, R 1940 2744;22;23;24;31;40;;22-23-24-31-40;0;140016,00;194;756,80;10602;35,90;163324;3,00;3330819;eur;
23103;LUNDI;28/08/2023;26/11/2023;9;35;23;37;28;7;9-23-28-35-37+7;0;9000000,00;2;70130,70;53;645,90;365;337,30;2220;33,10;14485;18,20;32343;6,30;207080;3,90;435593;2,20;10;20000,00;R 1830 0313, M 5165 9379, D 0966 6301, R 6146 7757, D 3205 9273, F 2022 0489, O 5933 2691, R 8526 2192, E 6943 6724, M 2688 2676;2;8;20;36;38;;2-8-20-36-38;1;114494,00;166;742,00;8276;38,50;130374;3,00;2051561;eur;
23102;SAMEDI;26/08/2023;24/11/2023;15;14;21;34;45;5;14-15-21-34-45+5;0;8000000,00;0;242373,80;57;5198,80;393;540,10;2614;48,60;19635;23,20;40808;8,70;303737;4,60;584816;2,20;10;20000,00;V 0804 7340, Q 2091 3680, I 9590 0341, T 7093 0444, M 5763 6700, L 7022 5637, I 4108 8248, P 6883 0156, S 9421 9601, R 6624 7912;10;13;19;39;43;;10-13-19-39-43;0;177813,00;356;478,10;15842;27,50;229655;3,00;4674357;eur;
23101;MERCREDI;23/08/2023;21/11/2023;46;29;25;8;34;7;8-25-29-34-46+7;0;7000000,00;0;154551,40;41;4689,60;262;517,30;1907;42,50;13608;21,40;31665;7,10;210003;4,20;512175;2,20;10;20000,00;B 0999 4247, S 4652 4603, E 0258 8531, T 3281 9571, U 3395 9023, P 8710 4733, C 0719 1440, B 7243 6288, K 9341 1883, K 6984 1375;3;5;7;22;40;;3-5-7-22-40;1;126551,00;342;302,30;14929;17,70;184954;3,00;1172935;eur;
23100;LUNDI;21/08/2023;19/11/2023;3;17;4;36;22;6;3-4-17-22-36+6;0;6000000,00;1;155220,10;42;902,00;320;425,60;1515;53,60;14895;19,60;21916;10,30;214386;4,20;278918;2,20;10;20000,00;N 2486 8805, S 0499 7376, T 9929 0472, A 4623 9713, L 4268 6734, V 5098 8001, H 2871 4510, B 2334 8709, V 1552 1367, F 5638 9893;3;6;12;40;43;;3-6-12-40-43;1;108403,00;191;559,80;9591;28,50;136773;3,00;6457240;eur;
23099;SAMEDI;19/08/2023;17/11/2023;27;8;32;11;4;10;4-8-11-27-32+10;0;5000000,00;2;127032,70;61;1016,50;781;285,60;2476;53,80;30348;15,80;32261;11,50;375097;3,90;390637;2,20;10;20000,00;E 6626 8884, M 4686 5305, R 1490 7084, U 5010 6148, J 5637 2760, K 6701 8217, J 9920 1021, H 8541 6619, J 5351 9696, T 9378 4321;7;33;34;44;49;;7-33-34-44-49;1;167121,00;261;695,60;13199;35,30;190004;3,00;2006839;eur;
23098;MERCREDI;16/08/2023;14/11/2023;24;41;19;35;27;9;19-24-27-35-41+9;0;4000000,00;6;28437,20;55;757,10;351;427,90;1656;54,00;14891;21,60;24120;10,30;215674;4,50;334514;2,20;10;20000,00;B 2001 8971, U 2571 8774, E 2360 7598, R 3140 7666, D 0445 7931, N 2665 2450, F 1928 8633, K 6884 5996, E 8439 7274, K 1015 0619;11;20;31;41;42;;11-20-31-41-42;0;119485,00;184;732,60;8273;41,70;130619;3,00;4384728;eur;
23097;LUNDI;14/08/2023;12/11/2023;44;13;3;27;49;9;3-13-27-44-49+9;0;3000000,00;2;74570,10;58;627,60;437;299,00;1937;40,40;17006;16,50;24361;8,90;217992;3,90;280145;2,20;10;20000,00;T 7604 2594, A 1823 2099, I 7311 2899, U 9870 8467, P 6087 3789, O 3288 1208, E 3436 8172, E 8677 7346, D 1632 8189, Q 3340 0295;16;19;21;32;37;;16-19-21-32-37;0;107335,00;183;648,10;7874;38,50;120278;3,00;2789417;eur;
23096;SAMEDI;12/08/2023;10/11/2023;9;20;44;1;39;9;1-9-20-39-44+9;0;2000000,00;1;234617,90;52;1101,20;404;509,90;2427;50,70;19654;22,50;36133;9,50;300507;4,50;458096;2,20;10;20000,00;H 1332 3128, L 9728 0223, O 0760 8865, D 4819 9067, M 7981 9677, R 0821 5683, G 3691 8572, H 1700 4298, K 7440 9697, R 5462 9027;7;10;21;29;47;;7-10-21-29-47;3;55204,00;499;292,20;18185;20,50;229367;3,00;4260925;eur;
23095;MERCREDI;09/08/2023;07/11/2023;6;31;45;14;3;9;3-6-14-31-45+9;1;14000000,00;1;213540,80;65;801,80;395;475,90;2278;49,10;20034;20,00;31512;9,90;287555;4,30;414136;2,20;10;20000,00;O 3171 3409, G 1346 3299, D 7096 5829, A 5592 4449, J 3526 4684, I 6502 7973, F 5450 9420, S 5848 3166, A 7964 1870, G 4488 1633;10;14;27;33;35;;10-14-27-33-35;0;145569,00;270;546,70;11933;31,80;177300;3,00;6851923;eur;
