date,day_of_week,n1,n2,n3,n4,n5,s1,s2
2014-10-31,Friday,10,41,13,20,33,9,3
2014-10-28,MARDI   ,45,17,40,10,15,1,2
2014-10-24,Friday,42,20,3,30,9,6,1
2014-10-21,MARDI   ,40,33,27,20,21,3,10
2014-10-17,Friday,49,13,48,1,40,8,10
2014-10-14,MARDI   ,15,23,32,4,5,7,3
2014-10-10,Friday,29,42,47,45,6,9,10
2014-10-07,MARDI   ,38,30,21,9,28,8,1
2014-10-03,Friday,13,23,50,48,4,10,5
2014-09-30,MARDI   ,33,13,15,3,42,5,7
2014-09-26,Friday,46,35,47,13,27,1,2
2014-09-23,MARDI   ,13,35,14,29,12,1,7
2014-09-19,Friday,6,34,8,38,48,9,3
2014-09-16,MARDI   ,4,30,35,50,29,4,2
2014-09-12,Friday,31,9,33,26,13,7,11
2014-09-09,MARDI   ,15,35,19,8,24,10,8
2014-09-05,Friday,18,50,23,46,1,9,3
2014-09-02,MARDI   ,39,45,25,31,5,8,1
2014-08-29,Friday,32,38,26,9,2,3,6
2014-08-26,MARDI   ,36,48,45,10,22,11,4
2014-08-22,Friday,29,17,49,35,4,1,2
2014-08-19,MARDI   ,11,34,47,4,7,7,8
2014-08-15,Friday,4,21,30,5,23,10,8
2014-08-12,MARDI   ,22,19,7,16,33,5,2
2014-08-08,Friday,29,21,35,46,43,1,9
2014-08-05,MARDI   ,5,21,42,7,19,11,5
2014-08-01,Friday,50,44,46,48,24,10,5
2014-07-29,MARDI   ,40,23,35,10,43,9,3
2014-07-25,Friday,10,24,9,12,43,5,9
2014-07-22,MARDI   ,1,43,50,45,24,5,8
2014-07-18,Friday,1,41,43,11,29,3,11
2014-07-15,MARDI   ,18,27,15,34,20,1,3
2014-07-11,Friday,38,35,5,49,22,7,4
2014-07-08,MARDI   ,24,18,22,8,27,11,4
2014-07-04,Friday,47,18,43,39,4,6,2
2014-07-01,MARDI   ,39,25,18,22,27,5,10
2014-06-27,Friday,39,34,45,33,31,2,10
2014-06-24,MARDI   ,20,1,7,21,48,4,7
2014-06-20,Friday,5,38,49,15,25,1,2
2014-06-17,MARDI   ,48,13,37,40,11,8,9
2014-06-13,Friday,16,22,28,46,18,11,9
2014-06-10,MARDI   ,12,18,21,33,32,1,11
2014-06-06,Friday,34,40,25,7,49,9,11
2014-06-03,MARDI   ,2,39,32,15,44,5,10
2014-05-30,Friday,27,41,24,45,5,7,6
2014-05-27,MARDI   ,16,13,26,25,7,1,6
2014-05-23,Friday,31,3,47,8,34,11,9
2014-05-20,MARDI   ,38,5,36,33,47,4,9
2014-05-16,Friday,26,23,37,29,40,4,3
2014-05-13,MARDI   ,47,34,13,30,4,6,2
2014-05-09,Friday,45,28,3,26,21,10,7
2014-05-06,MARDI   ,37,5,19,31,24,9,1
2014-05-02,Friday,30,42,4,31,38,11,2
2014-04-29,MARDI   ,35,26,18,23,44,3,11
2014-04-25,Friday,13,49,44,21,24,9,1
2014-04-22,MARDI   ,20,46,15,24,13,8,1
2014-04-18,Friday,21,47,31,39,24,3,7
2014-04-15,MARDI   ,14,50,47,26,3,7,11
2014-04-11,Friday,8,33,30,12,19,4,11
2014-04-08,MARDI   ,42,11,29,18,49,11,4
2014-04-04,Friday,50,45,28,6,10,10,11
2014-04-01,MARDI   ,44,38,18,16,26,10,8
2014-03-28,Friday,3,43,19,28,4,3,7
2014-03-25,MARDI   ,28,50,26,7,20,8,2
2014-03-21,Friday,37,7,39,30,42,7,5
2014-03-18,MARDI   ,27,36,34,8,39,5,10
2014-03-14,Friday,30,24,6,27,25,9,5
2014-03-11,MARDI   ,1,4,44,33,23,8,7
2014-03-07,Friday,38,10,40,5,41,1,8
2014-03-04,MARDI   ,3,22,5,27,44,6,1
2014-02-28,Friday,38,44,32,12,43,2,7
2014-02-25,MARDI   ,42,21,25,28,35,6,4
2014-02-21,Friday,28,13,17,30,32,5,7
2014-02-18,MARDI   ,36,37,26,23,49,6,7
2014-02-14,Friday,19,39,4,2,6,2,7
2014-02-11,MARDI   ,47,25,8,17,41,1,2
2014-02-07,Friday,17,19,47,3,46,9,10
2014-02-04,MARDI   ,37,1,33,21,38,8,4
