date,day_of_week,n1,n2,n3,n4,n5,s1,s2
20080725,Friday,29,7,15,24,11,7,2
20080718,Friday,16,14,44,10,29,6,5
20080711,Friday,37,19,11,13,9,3,4
20080704,Friday,19,22,48,7,27,7,5
20080627,Friday,20,44,5,50,26,5,7
20080620,Friday,11,8,36,37,45,3,5
20080613,Friday,16,37,44,50,13,9,1
20080606,Friday,21,40,19,50,7,2,9
20080530,Friday,14,20,49,7,5,8,2
20080523,Friday,5,38,9,19,21,1,7
20080516,Friday,6,38,9,25,15,4,9
20080509,Friday,8,9,42,40,45,7,6
20080502,Friday,26,48,45,37,2,8,4
20080425,Friday,4,30,26,19,27,8,3
20080418,Friday,27,6,7,50,3,5,9
20080411,Friday,50,30,25,45,6,5,7
20080404,Friday,18,37,47,13,11,6,1
20080328,Friday,39,9,29,5,17,3,6
20080321,Friday,10,2,22,18,36,6,4
20080314,Friday,13,48,35,21,25,4,8
20080307,Friday,14,17,7,35,2,6,1
20080229,Friday,37,47,49,40,12,9,2
20080222,Friday,46,50,4,27,32,8,9
20080215,Friday,27,45,12,29,46,7,4
20080208,Friday,17,38,28,44,30,1,4
20080201,Friday,30,49,45,47,22,4,9
20080125,Friday,2,19,9,45,6,7,8
20080118,Friday,46,40,16,14,23,8,4
20080111,Friday,24,36,50,8,49,4,8
20080104,Friday,41,24,10,12,25,3,5
20071228,Friday,45,31,20,22,21,9,7
20071221,Friday,37,7,44,28,9,7,6
20071214,Friday,8,30,36,25,44,4,3
20071207,Friday,48,43,4,2,32,1,7
20071130,Friday,38,20,12,19,30,9,7
20071123,Friday,22,2,48,29,10,9,3
20071116,Friday,23,18,33,37,9,1,8
20071109,Friday,14,25,36,5,22,6,5
20071102,Friday,40,16,3,19,18,2,1
20071026,Friday,20,7,38,40,43,8,1
20071019,Friday,7,18,34,35,40,7,8
20071012,Friday,36,47,21,32,46,3,4
20071005,Friday,20,27,35,44,11,5,2
20070928,Friday,22,34,44,30,35,4,5
20070921,Friday,35,37,17,1,32,8,1
20070914,Friday,33,29,5,9,11,7,9
20070907,Friday,42,3,34,2,33,5,3
20070831,Friday,22,37,23,18,6,6,5
20070824,Friday,16,3,42,1,48,2,3
20070817,Friday,2,13,42,3,38,7,8
20070810,Friday,40,43,49,42,23,6,2
20070803,Friday,41,33,37,30,10,1,8
20070727,Friday,4,29,21,1,41,8,7
20070720,Friday,50,26,10,21,25,9,4
20070713,Friday,13,9,31,15,48,6,3
20070706,Friday,39,41,4,19,5,9,8
20070629,Friday,28,8,33,45,12,1,3
20070622,Friday,22,17,16,11,34,5,6
20070615,Friday,5,14,40,7,21,3,8
20070608,Friday,15,17,25,45,1,8,2
20070601,Friday,22,41,42,37,6,6,9
20070525,Friday,49,26,50,29,25,8,7
20070518,Friday,49,37,34,26,39,2,6
20070511,Friday,12,26,49,7,29,6,2
20070504,Friday,17,41,35,6,45,1,5
20070427,Friday,44,18,7,36,27,1,2
20070420,Friday,41,26,32,45,23,3,7
20070413,Friday,20,41,38,7,25,3,7
20070406,Friday,41,48,29,23,15,6,3
20070330,Friday,19,9,46,17,41,1,8
20070323,Friday,43,17,5,40,13,3,1
20070316,Friday,45,4,31,49,14,9,4
20070309,Friday,43,25,3,2,48,9,6
20070302,Friday,3,16,48,34,38,8,5
20070223,Friday,20,2,22,18,15,5,2
20070216,Friday,19,39,20,50,8,6,9
20070209,Friday,36,16,46,30,14,8,2
20070202,Friday,36,14,27,23,30,1,6
20070126,Friday,38,11,23,15,30,4,9
20070119,Friday,27,5,13,33,42,4,2
20070112,Friday,14,8,25,19,11,3,5
20070105,Friday,17,45,36,29,19,6,5
20061229,Friday,14,9,6,13,35,3,4
20061222,Friday,20,11,43,9,38,2,3
20061215,Friday,35,37,9,42,23,3,7
20061208,Friday,47,36,17,16,18,1,2
20061201,Friday,16,37,8,41,4,2,5
20061124,Friday,8,5,40,25,17,5,1
20061117,Friday,36,12,33,22,32,2,6
20061110,Friday,36,30,14,27,21,2,3
20061103,Friday,13,11,44,24,49,9,3
20061027,Friday,3,50,44,4,8,8,7
20061020,Friday,10,34,47,19,45,6,3
20061013,Friday,2,32,38,41,25,5,3
20061006,Friday,5,35,11,22,38,7,8
20060929,Friday,1,3,24,6,18,5,8
20060922,Friday,30,45,49,29,10,8,3
20060915,Friday,10,49,26,6,16,7,9
20060908,Friday,12,10,32,33,1,8,1
20060901,Friday,25,50,7,45,3,9,6
20060825,Friday,47,10,28,48,40,8,6
20060818,Friday,37,40,50,12,39,1,2
20060811,Friday,47,31,46,28,27,5,2
20060804,Friday,26,15,32,14,1,7,3
20060728,Friday,3,43,29,8,12,6,7
20060721,Friday,50,4,38,2,9,8,6
20060714,Friday,1,31,7,17,36,8,2
20060707,Friday,35,9,7,43,18,7,5
20060630,Friday,16,6,15,40,43,1,2
20060623,Friday,44,30,9,21,43,9,1
20060616,Friday,26,36,1,16,30,9,3
20060609,Friday,3,34,39,15,12,4,6
20060602,Friday,41,7,48,27,8,6,1
20060526,Friday,21,41,12,2,49,3,7
20060519,Friday,49,34,25,3,5,8,5
20060512,Friday,23,5,20,34,50,1,5
20060505,Friday,8,50,16,4,14,9,3
20060428,Friday,17,5,33,22,10,7,5
20060421,Friday,46,1,22,20,37,1,9
20060414,Friday,34,35,26,16,49,6,2
20060407,Friday,13,12,29,50,44,4,5
20060331,Friday,50,3,45,20,31,7,6
20060324,Friday,17,47,28,33,35,4,9
20060317,Friday,50,44,5,45,32,7,1
20060310,Friday,1,33,21,45,49,4,8
20060303,Friday,5,44,10,8,3,3,5
20060224,Friday,18,19,1,47,11,7,3
20060217,Friday,4,23,38,24,26,4,2
20060210,Friday,5,38,6,48,50,6,7
20060203,Friday,30,39,9,21,50,3,1
20060127,Friday,9,21,15,40,49,4,1
20060120,Friday,15,12,50,33,44,6,2
20060113,Friday,12,19,33,34,8,1,6
20060106,Friday,6,26,14,9,2,4,5
20051230,Friday,19,45,43,8,16,1,4
20051223,Friday,31,42,37,36,15,1,7
20051216,Friday,2,18,3,15,32,7,6
20051209,Friday,11,42,38,35,18,1,5
20051202,Friday,1,30,20,9,23,4,7
20051125,Friday,27,39,47,6,1,6,1
20051118,Friday,34,17,18,48,25,3,2
20051111,Friday,41,16,36,42,15,5,3
20051104,Friday,38,42,36,37,26,2,6
20051028,Friday,14,50,47,44,36,3,5
20051021,Friday,19,14,33,1,29,1,8
20051014,Friday,10,19,11,23,20,6,1
20051007,Friday,26,44,21,13,2,3,9
20050930,Friday,11,50,48,6,47,1,6
20050923,Friday,1,31,34,26,47,4,9
20050916,Friday,19,38,12,13,21,3,9
20050909,Friday,31,12,50,19,8,7,6
20050902,Friday,43,3,4,50,14,3,6
20050826,Friday,29,35,40,41,9,6,1
20050819,Friday,41,29,11,24,31,3,1
20050812,Friday,37,23,40,15,30,7,9
20050805,Friday,21,11,2,22,30,4,6
20050729,Friday,50,3,19,49,26,5,4
20050722,Friday,49,14,41,3,48,1,4
20050715,Friday,42,23,1,11,12,6,3
20050708,Friday,42,46,36,35,49,8,2
20050701,Friday,23,28,5,4,25,3,4
20050624,Friday,6,15,8,14,45,7,8
20050617,Friday,8,4,10,21,18,7,1
20050610,Friday,37,32,47,7,6,7,1
20050603,Friday,8,11,3,17,50,5,1
20050527,Friday,50,48,31,2,24,9,4
20050520,Friday,28,6,47,7,13,8,5
20050513,Friday,12,40,31,17,32,9,2
20050506,Friday,44,21,12,7,26,6,8
20050429,Friday,42,35,9,3,39,1,8
20050422,Friday,13,10,24,47,3,9,5
20050415,Friday,6,31,42,38,28,9,3
20050408,Friday,31,50,25,11,7,3,1
20050401,Friday,26,44,47,25,41,3,7
20050325,Friday,29,33,38,4,37,9,6
20050318,Friday,48,39,23,6,43,5,7
20050311,Friday,40,12,43,23,8,1,4
20050304,Friday,12,32,37,39,24,7,9
20050225,Friday,43,3,27,44,30,8,4
20050218,Friday,32,46,20,21,26,8,9
20050211,Friday,11,13,25,32,50,7,4
20050204,Friday,11,1,40,30,8,7,8
20050128,Friday,26,21,7,43,45,5,7
20050121,Friday,12,14,10,26,24,8,5
20050114,Friday,11,14,29,6,19,3,1
20050107,Friday,50,27,47,3,23,3,2
20041231,Friday,8,7,47,25,24,8,9
20041224,Friday,3,27,29,4,37,6,5
20041217,Friday,49,22,19,15,46,9,2
20041210,Friday,3,13,43,1,16,7,2
20041203,Friday,15,42,11,1,49,4,3
20041126,Friday,24,1,34,4,36,8,6
20041119,Friday,37,29,34,18,1,6,2
20041112,Friday,12,13,4,32,11,9,3
20041105,Friday,25,42,49,19,6,1,7
20041029,Friday,32,1,38,35,8,9,4
20041022,Friday,9,25,1,40,23,3,9
20041015,Friday,37,21,14,43,22,5,8
20041008,Friday,12,10,48,1,16,2,6
20041001,Friday,48,20,45,21,12,6,5
20040924,Friday,48,21,26,27,44,1,7
20040917,Friday,41,39,15,18,29,8,5
20040910,Friday,5,38,36,25,33,5,2
20040903,Friday,14,12,15,34,8,7,6
20040827,Friday,28,1,44,22,11,1,9
20040820,Friday,27,10,35,9,6,6,8
20040813,Friday,20,27,41,43,50,5,8
20040806,Friday,5,35,44,15,24,6,5
20040730,Friday,50,10,9,19,37,6,1
20040723,Friday,10,27,7,34,31,8,3
20040716,Friday,26,50,31,24,38,8,5
20040709,Friday,44,19,5,12,2,8,9
20040702,Friday,4,28,24,23,34,1,3
20040625,Friday,30,21,35,3,34,1,2
20040618,Friday,28,2,40,23,43,6,2
20040611,Friday,7,2,47,10,8,1,7
20040604,Friday,41,42,34,13,9,7,3
20040528,Friday,41,44,6,35,11,6,5
20040521,Friday,37,39,29,15,49,4,9
20040514,Friday,32,3,1,39,21,2,6
20040507,Friday,38,36,15,16,21,1,5
20040430,Friday,27,16,6,5,23,7,6
20040423,Friday,45,21,6,49,10,5,3
20040416,Friday,28,40,14,15,35,3,1
20040409,Friday,23,19,10,1,4,2,8
20040402,Friday,4,24,12,36,27,2,9
20040326,Friday,23,43,3,4,10,2,4
20040319,Friday,42,45,33,37,36,9,4
20040312,Friday,44,47,15,28,24,4,5
20040305,Friday,39,37,4,7,33,5,1
20040227,Friday,37,19,18,14,31,5,4
20040220,Friday,13,50,47,7,39,2,5
20040213,Friday,32,16,29,41,36,9,7
